Sample,Phase,Density,VRH,C11,C12,C13,C14,C15,C16,C22,C23,C24,C25,C26,C33,C34,C35,C36,C44,C45,C46,C55,C56,C66,Quartz,Feldspar,Biotite,Muscovite,Chlorite,Hornblende,Garnet,Pyrite,AH,AI,AJ,AK,AL,AM,AN
1,0,2.9064,1,1.4305,0.27964,0.32825,0.0021537,0.00030025,0.011937,0.9877,0.28893,0.0051771,-0.0060918,0.0053858,1.4054,-0.028477,0.0045016,-0.0074228,0.37592,-0.0021731,-0.0065265,0.54096,-0.0040776,0.37303,0.31534,0.21572,0.18845,0.22129,0,0,0.0592,0,,,,,,,
1,0,2.9064,2,1.0269,0.25246,0.26057,0.0038874,0.011133,0.017695,0.70484,0.26995,-0.0020192,-0.015691,-0.0013223,0.98093,-0.012413,0.011808,-0.0089566,0.19456,0.00094174,-0.0042086,0.37566,-0.0025194,0.19205,0.31534,0.21572,0.18845,0.22129,0,0,0.0592,0,,,,,,,
1,0,2.9064,3,1.2287,0.26605,0.29441,0.0030206,0.0057169,0.014816,0.84627,0.27944,0.001579,-0.010891,0.0020318,1.1932,-0.020445,0.0081549,-0.0081897,0.28524,-0.00061569,-0.0053675,0.45831,-0.0032985,0.28254,0.31534,0.21572,0.18845,0.22129,0,0,0.0592,0,,,,,,,
1,1,2.649,1,1.0324,0.059079,0.049645,0.0063288,-0.012909,0.009451,1.0153,0.060002,0.039127,0.0027614,0.0092144,1.0339,-0.057892,-0.010211,-0.013969,0.47747,-0.011096,-0.0096898,0.47121,-0.0012775,0.47505,1,0,0,0,0,0,0,0,,,,,,,
1,1,2.649,2,0.93718,0.099955,0.091393,0.0070462,-0.014022,0.009087,0.92394,0.096566,0.030496,0.0049127,0.0068299,0.9443,-0.049782,-0.010301,-0.011125,0.41596,-0.0077427,-0.0088011,0.40934,-0.0024583,0.40888,1,0,0,0,0,0,0,0,,,,,,,
1,2,2.686,1,1.0983,0.42637,0.44422,-0.0060648,-0.022743,-0.00016198,1.0693,0.43804,-0.0056209,-0.0053509,-0.0054303,1.0951,-0.0068616,0.0033842,-0.00099578,0.33007,0.00049068,-0.0035418,0.3356,-0.0013154,0.32397,0,1,0,0,0,0,0,0,,,,,,,
1,2,2.686,2,0.96493,0.38458,0.40006,-0.01063,-0.018463,0.0011328,0.93699,0.39539,-0.0026896,-0.0070726,-0.0041499,0.95813,-0.0023502,0.0033351,-0.0027034,0.28289,0.0013515,-0.00024873,0.28974,0.0042338,0.27989,0,1,0,0,0,0,0,0,,,,,,,
1,3,3.05,1,1.6773,0.21872,0.30916,0.0061172,0.037236,0.073008,0.5678,0.24168,-0.035888,-0.02547,0.018183,1.5878,-0.030379,0.029765,-0.0093744,0.21483,0.017505,-0.011825,0.66899,-0.013644,0.21374,0,0,1,0,0,0,0,0,,,,,,,
1,3,3.05,2,0.94583,0.29241,0.30072,0.008491,0.068822,0.033428,0.48289,0.30926,-0.0059036,-0.019649,0.0005721,0.81034,-0.0062337,0.037769,-0.0092338,0.078313,0.006861,-0.0024691,0.30908,-0.0021495,0.078159,0,0,1,0,0,0,0,0,,,,,,,
1,4,2.83,1,1.6995,0.28934,0.42822,0.0014531,0.010144,-0.021548,0.69592,0.29918,0.0034913,-0.0045221,0.0010566,1.6631,-0.013478,0.0062791,-0.0047186,0.26031,-0.0094284,-0.0021266,0.62298,-0.0036681,0.25745,0,0,0,1,0,0,0,0,,,,,,,
1,4,2.83,2,1.3847,0.26426,0.35634,0.0011166,0.022163,-0.018541,0.61948,0.27014,0.0020934,-0.00295,0.00037163,1.3083,-0.011432,0.01298,-0.0039675,0.19539,-0.0079174,-0.00094497,0.48879,-0.0029602,0.19351,0,0,0,1,0,0,0,0,,,,,,,
1,7,3.81,1,2.9708,1.0774,1.0768,-0.00013676,0.00025625,1.89E-05,2.9705,1.0771,0.00070564,-0.00013168,-0.00014847,2.9711,-0.00056887,-0.00012456,0.00012961,0.94711,0.00012961,-0.00013168,0.94678,-0.00013676,0.94743,0,0,0,0,0,0,1,0,,,,,,,
1,7,3.81,2,2.9706,1.0775,1.0769,-0.00013577,0.00025474,1.87E-05,2.9703,1.0772,0.00070163,-0.00013074,-0.00014776,2.9709,-0.00056587,-0.000124,0.00012906,0.94695,0.00012888,-0.00013116,0.94663,-0.00013607,0.94727,0,0,0,0,0,0,1,0,,,,,,,
