Paper Reference,tensor #,Rock Type,density (g/cm3),C11 (Mbar),C12,C13,C14,C15,C16,C22,C23,C24,C25,C26,C33,C34,C35,C36,C44,C45,C46,C55,C56,C66
Tatham,1,8,3,1.3037,0.4774,0.4649,0.0014,-0.0089,0.0007,1.3228,0.4705,0.0057,-0.0079,-0.0033,1.2846,0.0079,-0.0056,-0.0052,0.416,-0.0002,0.0065,0.4164,0.0013,0.4224
Tatham,2,8,3,1.1853,0.4575,0.4521,-0.0014,-0.004,-0.0061,1.3336,0.4722,-0.0044,-0.0073,-0.0015,1.2738,-0.0017,-0.005,-0.0052,0.4149,-0.0014,0.0045,0.3881,-0.0022,0.3919
Tatham,3,8,3,1.1463,0.4275,0.4353,0.0004,0.0007,-0.0059,1.2368,0.4426,0.0118,-0.0073,-0.0096,1.2124,0.008,-0.0009,0.0013,0.3937,-0.0057,0.0064,0.3768,0.0015,0.3763
Tatham,4,8,3.1,1.183,0.4404,0.4396,0.001,-0.013,-0.011,1.3171,0.4501,0.0027,-0.0084,-0.0191,1.2101,0.0009,-0.0131,-0.0055,0.4007,-0.0017,-0.0027,0.3818,0.0023,0.3918
Tatham,5,8,3,1.2039,0.4849,0.4892,-0.0049,0.0084,-0.0072,1.3784,0.5049,-0.0031,-0.0028,-0.0134,1.3212,-0.0016,0.0139,0.0005,0.4223,-0.0033,0.0098,0.3919,-0.0024,0.3917
Tatham,6,8,3,1.0528,0.3746,0.3678,0.0017,-0.0057,-0.0017,1.1448,0.3775,0.0053,-0.006,-0.0022,1.0989,0.0037,-0.0091,-0.0019,0.3717,-0.0019,-0.0005,0.3594,-0.0024,0.3641
Tatham,7,8,3,1.0676,0.379,0.3855,0.0007,-0.0035,-0.0022,1.2476,0.3947,0.0028,-0.0054,-0.0014,1.2018,0.0087,-0.0068,-0.0003,0.4176,-0.0021,0.0016,0.3794,-0.001,0.3694
Tatham,8,8,3,1.0894,0.4225,0.4106,0.002,-0.0102,0.0027,1.3327,0.4428,0.0111,-0.0051,0.0182,1.2438,0.0046,-0.0141,0.0025,0.4123,0.0046,-0.0015,0.3695,-0.0006,0.3685
Tatham,9,8,3,1.0676,0.379,0.3855,0.0007,-0.0035,-0.0022,1.2476,0.3947,0.0028,-0.0054,-0.0014,1.2018,0.0087,-0.0068,-0.0003,0.4176,-0.0021,0.0016,0.3794,-0.001,0.3694
Ward et al (2012),10,5,2.8,0.95,0.0908,0.1036,-0.0124,-0.0227,0.0163,0.9969,0.091,0.0174,0.0063,-0.0095,0.9588,0.0054,0.0043,0.0078,0.4489,0.0154,-0.0023,0.4284,-0.0081,0.4428
Ward et al (2012),11,8,3,0.8977,0.1213,0.1003,0.0021,0.0168,0.0052,0.9054,0.1003,0.004,-0.0048,0.0019,1.0009,-0.0003,-0.0094,-0.0072,0.4479,-0.0086,-0.0034,0.4293,0.0057,0.4087
Ward et al (2012),12,5,2.7,0.9667,0.0986,0.0749,-0.0074,-0.0016,-0.025,0.8778,0.1323,0.004,-0.0025,0.0008,1.0245,0.0029,-0.0114,0.0136,0.4875,0.0057,-0.0106,0.4563,-0.0078,0.4017
Ji et al (2013),13,8,3.2,1.239,0.551,0.507,-0.009,-0.01,0,1.636,0.569,0.003,-0.001,0.017,1.366,0.002,-0.012,0.006,0.454,0.007,-0.009,0.395,-0.003,0.393
Ji et al (2013),14,8,3,1.238,0.567,0.555,0.005,-0.013,-0.009,1.496,0.595,0.011,-0.004,-0.023,1.423,0.013,-0.022,-0.007,0.432,-0.006,-0.009,0.372,-0.002,0.371
Ji et al (2013),15,8,3,1.26,0.541,0.517,0.003,-0.006,-0.005,1.492,0.546,0.014,-0.002,-0.003,1.297,0.006,-0.007,-0.002,0.416,-0.001,0,0.387,0.003,0.401
Ji et al (2013),16,8,3,1.264,0.535,0.51,0.002,0.001,0.016,1.456,0.54,0,-0.001,0.018,1.332,0.005,0,-0.001,0.423,0.001,-0.001,0.392,-0.001,0.398
Ji et al (2013),17,8,3,1.215,0.531,0.509,0.007,0.004,-0.009,1.469,0.55,0.024,0.006,-0.012,1.366,0.014,0,0.001,0.434,-0.003,0.006,0.379,0.001,0.376
Ji et al (2013),18,8,3,1.227,0.532,0.506,0.003,0.005,-0.002,1.491,0.544,0.002,-0.003,-0.022,1.349,0.003,0.004,-0.005,0.438,-0.001,0.006,0.387,-0.002,0.384
Barberini,19,8,3,1.5242,0.6152,0.5913,0.001,0.0095,0.0408,1.4963,0.596,0.0056,-0.0014,0.0438,1.3575,0.0032,0.0118,0.0166,0.4256,0.0035,0.0048,0.4209,0.0026,0.4395
Barberini,20,8,3,1.528,0.6304,0.634,-0.0012,0.0109,0.0349,1.5107,0.6243,-0.0165,-0.0098,0.0477,1.5871,-0.0198,0.0058,0.0118,0.4346,0.0213,-0.0036,0.4552,-0.0038,0.4511
Khazanehdari et al (1998),21,4,2.8,1.1865,0.5266,0.5274,-0.0012,0.0023,-0.003,1.307,0.5494,0.0002,0.0012,-0.0045,1.3029,0.0008,0.0073,-0.0001,0.3836,-0.0002,0.0013,0.361,-0.0012,0.3603
Valcke et al (2006),22,6,2.7,0.954,0.1189,0.1195,-0.0016,-0.0034,0.0008,0.9459,0.1235,-0.0015,0.0008,-0.0012,0.9355,0.0094,0.0017,0.0006,0.4114,0.0007,0.0002,0.4099,0.0026,0.4158
Valcke et al (2006),23,6,2.7,0.9673,0.1066,0.1065,-0.0017,-0.0025,0.005,0.9772,0.1131,-0.0036,-0.0026,0.0013,0.9685,0.014,0.0066,-0.0046,0.4368,-0.0035,-0.0017,0.4194,0.0039,0.4252
Valcke et al (2006),24,6,2.7,0.9709,0.1259,0.1265,-0.0058,-0.0024,-0.0078,0.9553,0.1357,0.008,0.0026,0.0038,0.9498,0.0057,-0.0057,0.0023,0.428,0.0013,-0.0009,0.423,-0.0006,0.4258
Takanashi et al 2001,25,2,2.8,0.7663,0.1928,0.2213,-0.0024,0.0003,-0.0034,1.1469,0.2117,0.0065,0.0022,0.0308,1.068,0.0041,0.0296,0.0001,0.4277,0.0145,0.0148,0.2446,0.0015,0.2428
Takanashi et al 2002,26,8,3,1.2793,0.5761,0.5233,-0.0031,-0.0089,0.0041,1.6081,0.5857,0.0122,-0.0014,0.0262,1.3112,0.0061,0.0117,0.0131,0.413,0.0037,-0.0025,0.3958,-0.0059,0.4066
Takanashi et al 2003,27,8,3,1.1959,0.5502,0.5061,-0.0042,0.0026,0.0041,1.4119,0.5511,-0.0033,0.0047,-0.0036,1.3843,-0.0043,0.015,0.0001,0.4104,-0.0068,0.003,0.3723,-0.0008,0.3625
Takanashi et al 2004,28,1,2.8,0.8164,0.279,0.2968,-0.0158,-0.0007,0.0032,1.0489,0.2908,0.0379,0.0045,-0.0057,0.9755,0.0213,0.0229,0.0003,0.3591,-0.0006,0.0083,0.2623,0.0011,0.2692
Brownlee et al. 2011,29,1,2.7,1.0849,0.352,0.3615,-0.0024,-0.0001,0.0022,1.0837,0.3593,-0.0049,0.0018,-0.0015,1.0565,0.0033,0.0015,-0.0006,0.3545,-0.0022,0.0016,0.3576,-0.0028,0.3633
Brownlee et al. 2011,30,9,3.4,2.0466,0.671,0.6675,-0.0022,0.009,0.0097,2.1051,0.6626,-0.0049,-0.0013,0.0031,1.9985,0.0002,0.0091,0.0108,0.6906,-0.0005,0.0058,0.6755,-0.0023,0.6946
Brownlee et al. 2011,31,8,3,1.3997,0.4883,0.4589,-0.0017,0.0006,0.0054,1.4704,0.4698,-0.0201,-0.0004,0.0023,1.2488,-0.0065,0.0011,0.0015,0.4138,-0.0011,0.0001,0.4193,-0.0069,0.4713
Brownlee et al. 2011,32,1,2.7,1.0751,0.3417,0.3412,-0.0009,0.0023,0.0074,1.0992,0.3338,-0.0001,0,0.0041,1.0556,0.0053,0.0014,-0.0001,0.3613,0.0022,-0.0005,0.3555,-0.0008,0.3658
Brownlee et al. 2011,33,1,2.7,1.1014,0.3304,0.3356,-0.003,-0.0015,-0.0008,1.0978,0.3342,0.0153,0.0016,-0.0023,1.007,0.0035,0.0012,0.0021,0.3504,0.0002,0.0017,0.3518,0.0057,0.3918
Brownlee et al. 2011,34,8,3.2,1.6987,0.6655,0.6204,-0.0058,-0.017,-0.0074,1.7756,0.6229,-0.0177,-0.0009,-0.0058,1.5336,-0.0047,-0.0161,0.0008,0.4957,-0.0001,-0.0029,0.4945,-0.0049,0.5377
Rasolofosaon et al (2000),35,1,2.7,1.227,0.3495,0.4312,-0.0003,0.0122,0.008,1.1691,0.4354,-0.0046,-0.0004,-0.0007,0.9489,-0.013,0.0111,-0.0004,0.3084,0.0146,0.0078,0.3001,-0.0046,0.4164
Rasolofosaon et al (2000),36,1,2.7,1.068,0.271,0.0968,0.0003,-0.0028,0.0012,0.99,0.1822,-0.0149,-0.0013,-0.0058,0.5457,-0.0244,0.0169,-0.0075,0.2597,0.0198,-0.0043,0.2605,-0.0144,0.3782
Erdman et al (2013) Basin and Range Province,37,1,2.8,1.0298,0.2383,0.2427,0.0104,-0.0062,0.0084,1.0369,0.2481,-0.0026,0.0062,0.0002,0.9554,-0.0023,-0.0058,-0.0066,0.3557,-0.0045,0.0062,0.3515,0.0038,0.378
Erdman et al (2013) Basin and Range Province,38,1,2.7,1.0075,0.2731,0.2571,-0.0054,-0.0068,-0.0054,1.0368,0.28,-0.0025,0.0018,0.007,0.9718,-0.0087,-0.0137,0.0053,0.3559,0.0029,0,0.3485,-0.0061,0.3746
Erdman et al (2013) Basin and Range Province,39,1,2.9,1.1515,0.2759,0.2844,0.0003,0.0248,0.0012,1.2021,0.2816,0.0217,0.004,-0.009,0.8099,-0.0006,-0.0134,-0.0019,0.2904,-0.0001,0.0086,0.2901,0.0095,0.4419
Erdman et al (2013) Basin and Range Province,40,1,2.7,1.0178,0.2064,0.1985,-0.0082,0.0273,-0.0015,1.0244,0.1993,0.036,0.0092,0.0085,0.8886,-0.007,-0.0184,-0.0017,0.3394,0.0007,0.0208,0.3408,0.0059,0.4374
Erdman et al (2013) Basin and Range Province,41,1,2.8,1.1495,0.272,0.2729,-0.0049,0.057,-0.011,1.1477,0.2776,0.0205,-0.002,-0.0061,0.8099,0.0031,-0.004,0.0067,0.2839,0.0034,0.0223,0.2821,0.0044,0.4352
Erdman et al (2013) Basin and Range Province,42,1,2.7,0.9646,0.2987,0.3022,0.0125,-0.0192,0.0021,0.9731,0.2712,0.0199,-0.0036,0.0101,0.951,-0.0159,-0.0143,-0.0011,0.3146,-0.0039,0.0019,0.3509,0.0203,0.36
Erdman et al (2013) Basin and Range Province,43,4,3,1.6116,0.6206,0.6179,-0.0017,0.0027,0.0036,1.6626,0.6249,0.0021,-0.0056,0.003,1.6027,0.0124,0.0028,0.0094,0.4956,0.0048,-0.0012,0.4937,-0.0017,0.4926
Erdman et al (2013) Basin and Range Province,44,4,3,1.4602,0.5792,0.5873,-0.0006,-0.0026,0.0094,1.5299,0.5914,0.0094,-0.0025,0.0051,1.4411,0.0025,0.0072,0.0052,0.4389,-0.002,0.0003,0.4238,0.0016,0.4473
Erdman et al (2013) Basin and Range Province,45,4,2.9,1.2311,0.4453,0.4282,0.0018,-0.0014,-0.004,1.2004,0.4477,0.0103,-0.0089,0.0072,1.0766,0.0102,0.0033,0.0039,0.3408,0.0008,-0.0099,0.3352,0.0093,0.3953
Erdman et al (2013) Basin and Range Province,46,4,2.8,1.2576,0.5624,0.549,-0.0034,-0.0039,-0.0007,1.3016,0.546,-0.0089,-0.0054,-0.0059,1.1751,0.0026,-0.0043,-0.0017,0.3394,-0.0005,-0.0054,0.3422,-0.003,0.3483
Erdman et al (2013) Basin and Range Province,47,4,2.8,1.0573,0.3532,0.3566,0.0026,-0.0367,-0.0037,1.0988,0.3529,0.0148,-0.0032,0.0024,0.9525,0.0011,-0.0062,0.0003,0.308,-0.0004,-0.0185,0.3102,0.0093,0.3602
Erdman et al (2013) Basin and Range Province,48,1,2.8,0.9982,0.2658,0.2983,0.0074,0.0659,0.016,1.0336,0.2771,-0.0354,-0.0014,0.0155,0.842,0.0018,-0.0162,-0.0175,0.2821,-0.0081,0.0304,0.3043,-0.0079,0.3641
Erdman et al (2013) Basin and Range Province,49,1,2.7,1.0441,0.2617,0.295,-0.0058,-0.0301,-0.0123,1.0022,0.2941,-0.0114,0.0048,-0.0116,0.9647,0.0017,-0.013,0.0001,0.3397,-0.0033,-0.0084,0.347,-0.0037,0.3614
Erdman et al (2013) Basin and Range Province,50,1,2.7,1.0651,0.146,0.0881,0.0062,-0.0089,-0.007,0.9202,0.1152,0.0185,0.004,0.0081,0.9354,-0.0133,-0.0146,0.0255,0.3588,0.0319,-0.0031,0.4054,0.011,0.48
Erdman et al (2013) Basin and Range Province,51,4,2.8,1.19,0.4673,0.4512,-0.0008,0.0039,-0.0116,1.2207,0.4457,0.0127,-0.004,-0.0077,1.1341,0.0211,0.0053,0.0048,0.3522,0.0047,-0.0044,0.3543,-0.0043,0.3661
